62.45	62.25	61.25	60.9	157317
62.25	62.45	62.25	61.25	75807
62.25	62.25	62.45	62.25	124552
63.25	62.25	62.25	62.45	88000
62.65	63.25	62.25	62.25	24568
64	62.65	63.25	62.25	48299
64.9	64	62.65	63.25	92190
65.55	64.9	64	62.65	31413
65.9	65.55	64.9	64	76905
64	65.9	65.55	64.9	80096
64.5	64	65.9	65.55	36619
64.45	64.5	64	65.9	62472
64.1	64.45	64.5	64	22522
63.1	64.1	64.45	64.5	161045
62.5	63.1	64.1	64.45	150706
63	62.5	63.1	64.1	155670
64.2	63	62.5	63.1	105254
65.4	64.2	63	62.5	71475
69.5	65.4	64.2	63	219650
72.8	69.5	65.4	64.2	407757
74.85	72.8	69.5	65.4	744541
74	74.85	72.8	69.5	131633
74.5	74	74.85	72.8	83268
75.5	74.5	74	74.85	233551
75.4	75.5	74.5	74	98357
73.65	75.4	75.5	74.5	138349
71.7	73.65	75.4	75.5	274154
72.25	71.7	73.65	75.4	194468
73.1	72.25	71.7	73.65	110558
73.5	73.1	72.25	71.7	196439
72.75	73.5	73.1	72.25	183396
72.4	72.75	73.5	73.1	84926
72.95	72.4	72.75	73.5	28963
73	72.95	72.4	72.75	26499
72.8	73	72.95	72.4	34485
72.7	72.8	73	72.95	48852
73.5	72.7	72.8	73	7413
73	73.5	72.7	72.8	15209
70.8	73	73.5	72.7	124622
70	70.8	73	73.5	257720
71.15	70	70.8	73	25460
70	71.15	70	70.8	13622
70	70	71.15	70	15625
71	70	70	71.15	24918
70.5	71	70	70	51883
70	70.5	71	70	75653
70.7	70	70.5	71	32869
70	70.7	70	70.5	70199
70.2	70	70.7	70	44323
71	70.2	70	70.7	15278
70.85	71	70.2	70	29398
68	70.85	71	70.2	244362
69.95	68	70.85	71	251160
69.8	69.95	68	70.85	109368
69.3	69.8	69.95	68	18913
68.95	69.3	69.8	69.95	104785
69.65	68.95	69.3	69.8	243837
70.2	69.65	68.95	69.3	87866
69.9	70.2	69.65	68.95	21769
66.85	69.9	70.2	69.65	177349
68.4	66.85	69.9	70.2	192884
67.9	68.4	66.85	69.9	60871
67	67.9	68.4	66.85	86142
66.6	67	67.9	68.4	26139
66.5	66.6	67	67.9	18698
69	66.5	66.6	67	13252
69.5	69	66.5	66.6	10115
68.75	69.5	69	66.5	48359
69.4	68.75	69.5	69	102263
69	69.4	68.75	69.5	43486
69.75	69	69.4	68.75	18865
69.5	69.75	69	69.4	9517
68.5	69.5	69.75	69	29516
68	68.5	69.5	69.75	20821
68.5	68	68.5	69.5	18489
68.25	68.5	68	68.5	67841
68.01	68.25	68.5	68	14065
68	68.01	68.25	68.5	66108
66.7	68	68.01	68.25	115613
67	66.7	68	68.01	21099
67	67	66.7	68	19709
66.75	67	67	66.7	459976
67.1	66.75	67	67	7934
67	67.1	66.75	67	41254
67.8	67	67.1	66.75	83744
69.35	67.8	67	67.1	20270
71	69.35	67.8	67	64898
69.6	71	69.35	67.8	78601
69.69	69.6	71	69.35	6771
69.45	69.69	69.6	71	53635
69.49	69.45	69.69	69.6	9159
72.5	69.49	69.45	69.69	188042
73.95	72.5	69.49	69.45	121944
73.2	73.95	72.5	69.49	23402
73.65	73.2	73.95	72.5	55396
75	73.65	73.2	73.95	73495
80	75	73.65	73.2	292284
79.4	80	75	73.65	122552
80.3	79.4	80	75	174298
81	80.3	79.4	80	360128
84	81	80.3	79.4	227588
83.8	84	81	80.3	494573
83	83.8	84	81	273790
82.5	83	83.8	84	87148
84	82.5	83	83.8	426528
83.99	84	82.5	83	178231
83.8	83.99	84	82.5	2011697
83.38	83.8	83.99	84	411544
86	83.38	83.8	83.99	656544
88.5	86	83.38	83.8	236769
88.44	88.5	86	83.38	184965
88	88.44	88.5	86	127231
91	88	88.44	88.5	242532
90.5	91	88	88.44	271550
89.7	90.5	91	88	88826
86.65	89.7	90.5	91	72641
89.88	86.65	89.7	90.5	77687
90.29	89.88	86.65	89.7	137957
93.9	90.29	89.88	86.65	240540
94	93.9	90.29	89.88	119263
90.7	94	93.9	90.29	140282
90	90.7	94	93.9	243169
88.7	90	90.7	94	165755
87.21	88.7	90	90.7	61941
86.3	87.21	88.7	90	56922
84.99	86.3	87.21	88.7	255945
89.5	84.99	86.3	87.21	255958
90	89.5	84.99	86.3	180418
89.5	90	89.5	84.99	64866
87.5	89.5	90	89.5	27917
86.5	87.5	89.5	90	133386
84	86.5	87.5	89.5	153182
85.45	84	86.5	87.5	141271
86.9	85.45	84	86.5	26606
87	86.9	85.45	84	110770
87	87	86.9	85.45	93878
88.65	87	87	86.9	147440
88	88.65	87	87	29022
86.5	88	88.65	87	127437
88	86.5	88	88.65	239853
87.11	88	86.5	88	27887
88.2	87.11	88	86.5	11067
86	88.2	87.11	88	98249
87.5	86	88.2	87.11	639998
87.45	87.5	86	88.2	133524
86.97	87.45	87.5	86	180729
86.22	86.97	87.45	87.5	78825
84.55	86.22	86.97	87.45	38897
85.5	84.55	86.22	86.97	197532
85.02	85.5	84.55	86.22	125611
86.75	85.02	85.5	84.55	319358
87.5	86.75	85.02	85.5	522906
88	87.5	86.75	85.02	319474
89.89	88	87.5	86.75	312827
95	89.89	88	87.5	341122
89	95	89.89	88	622125
87.8	89	95	89.89	273679
88.99	87.8	89	95	221611
89.99	88.99	87.8	89	278073
94	89.99	88.99	87.8	201138
92.31	94	89.99	88.99	195686
93.9	92.31	94	89.99	86987
93	93.9	92.31	94	110705
93.63	93	93.9	92.31	36981
97	93.63	93	93.9	77853
96.4	97	93.63	93	219896
95.11	96.4	97	93.63	25694
92.4	95.11	96.4	97	88532
90.5	92.4	95.11	96.4	87843
88.5	90.5	92.4	95.11	184216
91.5	88.5	90.5	92.4	223050
90	91.5	88.5	90.5	154297
89.25	90	91.5	88.5	329293
90	89.25	90	91.5	140087
86	90	89.25	90	156916
86.9	86	90	89.25	121044
87.5	86.9	86	90	111876
89.5	87.5	86.9	86	343570
89.45	89.5	87.5	86.9	94354
90	89.45	89.5	87.5	226975
89.4	90	89.45	89.5	26169
89.41	89.4	90	89.45	50684
88.5	89.41	89.4	90	87395
88.5	88.5	89.41	89.4	169183
91	88.5	88.5	89.41	289080
88.98	91	88.5	88.5	77336
87	88.98	91	88.5	111698
85.9	87	88.98	91	243107
88.5	85.9	87	88.98	165480
88.94	88.5	85.9	87	56483
87.52	88.94	88.5	85.9	45537
89.94	87.52	88.94	88.5	166419
90	89.94	87.52	88.94	211526
90.5	90	89.94	87.52	80535
90.55	90.5	90	89.94	177949
90.05	90.55	90.5	90	81407
90.44	90.05	90.55	90.5	61258
91	90.44	90.05	90.55	117913
93	91	90.44	90.05	107131
95	93	91	90.44	99693
94.95	95	93	91	45805
94.6	94.95	95	93	21923
97.2	94.6	94.95	95	1007109
99.8	97.2	94.6	94.95	64565
93.9	99.8	97.2	94.6	406184
73.3	93.9	99.8	97.2	2500793
78	73.3	93.9	99.8	565752
81.51	78	73.3	93.9	358530
81.51	81.51	78	73.3	313998
81.5	81.51	81.51	78	77374
